Fecha;Esc. Medio;IC Superior 95%;IC Inferior 95%;IC Superior 68%;IC Inferior 68%;
abr-22;6.047;6.196;5.898;6.128;5.966;
may-22;6.270;6.424;6.116;6.354;6.185;
jun-22;6.121;6.272;5.971;6.204;6.039;
jul-22;6.354;6.570;6.138;6.472;6.235;
ago-22;6.505;6.727;6.284;6.626;6.384;
sep-22;6.347;6.563;6.131;6.465;6.228;
oct-22;6.479;6.756;6.204;6.631;6.329;
nov-22;6.374;6.646;6.102;6.523;6.225;
dic-22;6.530;6.809;6.252;6.683;6.378;
ene-23;6.249;6.571;5.929;6.424;6.074;
feb-23;5.964;6.271;5.658;6.131;5.797;
mar-23;6.434;6.765;6.104;6.614;6.254;
abr-23;6.169;6.510;5.831;6.356;5.984;
may-23;6.422;6.777;6.070;6.616;6.229;
jun-23;6.271;6.618;5.927;6.461;6.083;
jul-23;6.488;6.873;6.106;6.699;6.279;
ago-23;6.621;7.014;6.231;6.836;6.407;
sep-23;6.477;6.862;6.095;6.688;6.268;
oct-23;6.641;6.794;6.488;6.726;6.555;
nov-23;6.527;6.677;6.376;6.611;6.443;
dic-23;6.626;6.779;6.473;6.711;6.541;
ene-24;6.582;6.797;6.368;6.702;6.463;
feb-24;6.419;6.629;6.210;6.536;6.302;
mar-24;6.675;6.893;6.458;6.796;6.553;
abr-24;6.626;6.886;6.367;6.771;6.481;
may-24;6.794;7.061;6.529;6.943;6.646;
jun-24;6.605;6.864;6.347;6.749;6.461;
jul-24;6.857;7.167;6.549;7.030;6.685;
ago-24;6.914;7.226;6.604;7.088;6.740;
sep-24;6.758;7.063;6.455;6.928;6.588;
oct-24;6.978;7.335;6.625;7.177;6.781;
nov-24;6.822;7.171;6.477;7.017;6.630;
dic-24;6.963;7.319;6.611;7.162;6.767;
ene-25;6.732;7.126;6.343;6.951;6.516;
feb-25;6.439;6.815;6.067;6.648;6.232;
mar-25;6.883;7.286;6.485;7.107;6.662;
abr-25;6.693;7.097;6.294;6.918;6.470;
may-25;6.931;7.348;6.517;7.164;6.700;
jun-25;6.711;7.115;6.310;6.937;6.487;
jul-25;6.962;7.409;6.520;7.211;6.715;
ago-25;6.965;7.413;6.524;7.215;6.719;
sep-25;6.865;7.305;6.429;7.111;6.621;
oct-25;7.066;7.552;6.585;7.337;6.798;
nov-25;6.885;7.359;6.417;7.149;6.624;
dic-25;7.054;7.540;6.575;7.325;6.787;
ene-26;6.821;7.336;6.314;7.108;6.538;
feb-26;6.540;7.034;6.054;6.815;6.269;
mar-26;6.989;7.516;6.469;7.282;6.699;
abr-26;6.787;7.302;6.279;7.075;6.503;
may-26;6.973;7.502;6.451;7.268;6.681;
jun-26;6.831;7.350;6.320;7.121;6.545;
jul-26;7.015;7.568;6.469;7.323;6.710;
ago-26;7.039;7.594;6.491;7.349;6.733;
sep-26;6.945;7.493;6.405;7.251;6.643;
oct-26;7.121;7.711;6.540;7.450;6.797;
nov-26;6.959;7.535;6.391;7.280;6.642;
dic-26;7.120;7.710;6.539;7.449;6.795;
ene-27;6.973;7.588;6.367;7.316;6.635;
feb-27;6.718;7.311;6.135;7.049;6.393;
mar-27;7.136;7.765;6.516;7.486;6.790;
abr-27;6.945;7.564;6.336;7.291;6.605;
may-27;7.074;7.705;6.454;7.426;6.728;
jun-27;6.981;7.603;6.369;7.328;6.639;
jul-27;7.124;7.773;6.485;7.487;6.767;
ago-27;7.220;7.878;6.573;7.588;6.858;
sep-27;7.090;7.736;6.454;7.451;6.734;
oct-27;7.245;7.931;6.571;7.628;6.869;
nov-27;7.136;7.812;6.472;7.513;6.765;
dic-27;7.297;7.987;6.618;7.682;6.918;
ene-28;7.096;7.805;6.399;7.491;6.707;
feb-28;6.949;7.643;6.266;7.336;6.568;
mar-28;7.291;8.020;6.575;7.698;6.892;
abr-28;7.048;7.756;6.353;7.443;6.659;
may-28;7.305;8.038;6.584;7.714;6.902;
jun-28;7.153;7.872;6.448;7.555;6.759;
jul-28;7.255;7.997;6.528;7.670;6.848;
ago-28;7.389;8.144;6.648;7.811;6.974;
sep-28;7.244;7.985;6.518;7.658;6.838;
oct-28;7.420;8.200;6.654;7.856;6.992;
nov-28;7.308;8.077;6.554;7.738;6.887;
dic-28;7.407;8.186;6.643;7.843;6.980;
ene-29;7.318;8.127;6.525;7.770;6.875;
feb-29;7.028;7.805;6.266;7.461;6.603;
mar-29;7.437;8.259;6.631;7.896;6.987;
abr-29;7.250;8.051;6.465;7.698;6.811;
may-29;7.443;8.265;6.637;7.902;6.992;
jun-29;7.284;8.088;6.495;7.733;6.842;
jul-29;7.425;8.257;6.610;7.890;6.968;
ago-29;7.547;8.392;6.718;8.020;7.082;
